,Occupation,Automatability,Wage,Employment,Job_Compared,wage_Heavy_and_Tractor-Trailer_Truck_Drivers,similar_Heavy_and_Tractor-Trailer_Truck_Drivers,empl_Heavy_and_Tractor-Trailer_Truck_Drivers,auto_Heavy_and_Tractor-Trailer_Truck_Drivers
0,Recreational Therapists,0.0028,48190,18100,Recreational Therapists,-0.0954554886906,0.220788586,1.0,0.79
1,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.003,66730,453330,"First-Line Supervisors of Mechanics, Installers, and Repairers",-0.34677056796,0.311746533,1.0,0.79
2,Emergency Management Directors,0.003,78060,9570,Emergency Management Directors,-0.441583397387,0.228376242,1.0,0.79
3,Mental Health and Substance Abuse Social Workers,0.0031,47880,114040,Mental Health and Substance Abuse Social Workers,-0.0895989974937,0.168265323,1.0,0.79
4,Audiologists,0.0033,79290,12310,Audiologists,-0.450245932652,0.245748664,1.0,0.79
5,Occupational Therapists,0.0035,83730,118070,Occupational Therapists,-0.47939806521,0.169789638,1.0,0.79
6,Orthotists and Prosthetists,0.0035,69920,7500,Orthotists and Prosthetists,-0.376573226545,0.244822445,1.0,0.79
7,Healthcare Social Workers,0.0035,55510,159310,Healthcare Social Workers,-0.214736083589,0.175375143,1.0,0.79
8,Oral and Maxillofacial Surgeons,0.0036,232870,5380,Oral and Maxillofacial Surgeons,-0.812814016404,0.222922648,1.0,0.79
9,First-Line Supervisors of Fire Fighting and Prevention Workers,0.0036,77050,57170,First-Line Supervisors of Fire Fighting and Prevention Workers,-0.434263465282,0.319382015,1.0,0.79
10,Dietitians and Nutritionists,0.0039,59670,61430,Dietitians and Nutritionists,-0.269482151835,0.160886202,1.0,0.79
11,Lodging Managers,0.0039,59410,35410,Lodging Managers,-0.266285137182,0.188233745,1.0,0.79
12,Choreographers,0.004,53610,5160,Choreographers,-0.186905428092,0.172731241,1.0,0.79
13,Sales Engineers,0.0041,108880,74330,Sales Engineers,-0.599650991918,0.242589448,1.0,0.79
14,Instructional Coordinators,0.0042,65500,147330,Instructional Coordinators,-0.334503816794,0.186072907,1.0,0.79
15,"Psychologists, All Other",0.0043,94650,13310,"Psychologists, All Other",-0.539461172742,0.109092554,1.0,0.79
16,First-Line Supervisors of Police and Detectives,0.0044,88400,100200,First-Line Supervisors of Police and Detectives,-0.506900452489,0.233495214,1.0,0.79
17,"Dentists, General",0.0044,173860,105620,"Dentists, General",-0.749281030714,0.21868362,1.0,0.79
18,"Elementary School Teachers, Except Special Education",0.0044,59020,1392660,"Elementary School Teachers, Except Special Education",-0.261436801084,0.199968664,1.0,0.79
19,"Medical Scientists, Except Epidemiologists",0.0045,95000,108870,"Medical Scientists, Except Epidemiologists",-0.541157894737,0.193660317,1.0,0.79
20,"Education Administrators, Elementary and Secondary School",0.0046,95390,242970,"Education Administrators, Elementary and Secondary School",-0.543033860992,0.14842016,1.0,0.79
21,Podiatrists,0.0046,144110,9800,Podiatrists,-0.697522725696,0.219164472,1.0,0.79
22,"Clinical, Counseling, and School Psychologists",0.0047,78690,107980,"Clinical, Counseling, and School Psychologists",-0.446054136485,0.143145188,1.0,0.79
23,Mental Health Counselors,0.0048,46050,139820,Mental Health Counselors,-0.0534201954397,0.135674628,1.0,0.79
24,Fabric and Apparel Patternmakers,0.0049,48460,5310,Fabric and Apparel Patternmakers,-0.100495253818,0.317352384,1.0,0.79
25,Set and Exhibit Designers,0.0055,57600,12060,Set and Exhibit Designers,-0.243229166667,0.219407576,1.0,0.79
26,Human Resources Managers,0.0055,120210,129810,Human Resources Managers,-0.63738457699,0.189307891,1.0,0.79
27,Recreation Workers,0.0061,27230,336880,Recreation Workers,0.600807932427,0.320093669,1.0,0.79
28,Training and Development Managers,0.0063,115180,32880,Training and Development Managers,-0.621548880014,0.180776832,1.0,0.79
29,Speech-Language Pathologists,0.0064,78210,135980,Speech-Language Pathologists,-0.442654392021,0.209244501,1.0,0.79
30,Computer Systems Analysts,0.0065,91620,568960,Computer Systems Analysts,-0.524230517354,0.30392996,1.0,0.79
31,Social and Community Service Managers,0.0067,70870,126230,Social and Community Service Managers,-0.384930153803,0.173321934,1.0,0.79
32,Curators,0.0068,58910,11170,Curators,-0.260057715159,0.23337314,1.0,0.79
33,Athletic Trainers,0.0071,47880,24130,Athletic Trainers,-0.0895989974937,0.226389057,1.0,0.79
34,Medical and Health Services Managers,0.0073,109370,332150,Medical and Health Services Managers,-0.601444637469,0.171435637,1.0,0.79
35,"Preschool Teachers, Except Special Education",0.0074,33300,385550,"Preschool Teachers, Except Special Education",0.309009009009,0.269118292,1.0,0.79
36,Farm and Home Management Advisors,0.0075,52150,8620,Farm and Home Management Advisors,-0.16414189837,0.213152403,1.0,0.79
37,Anthropologists and Archeologists,0.0077,66440,6470,Anthropologists and Archeologists,-0.343919325707,0.168409051,1.0,0.79
38,"Special Education Teachers, Secondary School",0.0077,64020,132490,"Special Education Teachers, Secondary School",-0.319119025305,0.228419221,1.0,0.79
39,"Secondary School Teachers, Except Special and Career/Technical Education",0.0078,61420,1003250,"Secondary School Teachers, Except Special and Career/Technical Education",-0.290296320417,0.230265452,1.0,0.79
40,Clergy,0.0081,49450,49320,Clergy,-0.118503538928,0.145634037,1.0,0.79
41,Foresters,0.0081,60300,8420,Foresters,-0.277114427861,0.284593116,1.0,0.79
42,"Educational, Guidance, School, and Vocational Counselors",0.0085,57620,260670,"Educational, Guidance, School, and Vocational Counselors",-0.24349184311,0.160418978,1.0,0.79
43,"Career/Technical Education Teachers, Secondary School",0.0088,59480,80100,"Career/Technical Education Teachers, Secondary School",-0.267148621385,0.284973035,1.0,0.79
44,Registered Nurses,0.009,72180,18100,Registered Nurses,-0.396093100582,0.22748508,1.0,0.79
45,Rehabilitation Counselors,0.0094,38740,103030,Rehabilitation Counselors,0.125193598348,0.200027632,1.0,0.79
46,Forensic Science Technicians,0.0095,60690,14800,Forensic Science Technicians,-0.281759762729,0.382448756,1.0,0.79
47,"Makeup Artists, Theatrical and Performance",0.01,71590,3600,"Makeup Artists, Theatrical and Performance",-0.391116077664,0.307628136,1.0,0.79
48,Marine Engineers and Naval Architects,0.01,99860,8120,Marine Engineers and Naval Architects,-0.563488884438,0.256786316,1.0,0.79
49,"Education Administrators, Postsecondary",0.01,105770,138430,"Education Administrators, Postsecondary",-0.587879360877,0.162714792,1.0,0.79
50,Mechanical Engineers,0.011,89800,285790,Mechanical Engineers,-0.514587973274,0.203008581,1.0,0.79
51,Pharmacists,0.012,120270,305510,Pharmacists,-0.637565477675,0.183591453,1.0,0.79
52,Logisticians,0.012,77810,146060,Logisticians,-0.439789230176,0.269518877,1.0,0.79
53,Microbiologists,0.012,76850,21670,Microbiologists,-0.432791151594,0.244104665,1.0,0.79
54,Industrial-Organizational Psychologists,0.012,104570,1020,Industrial-Organizational Psychologists,-0.583150043033,0.133146769,1.0,0.79
55,Coaches and Scouts,0.013,41000,230930,Coaches and Scouts,0.0631707317073,0.215955336,1.0,0.79
56,Sales Managers,0.013,135090,365230,Sales Managers,-0.67732622696,0.210988738,1.0,0.79
57,Hydrologists,0.014,83740,6300,Hydrologists,-0.479460234058,0.262898146,1.0,0.79
58,Marketing Managers,0.014,144140,205900,Marketing Managers,-0.697585680588,0.194805882,1.0,0.79
59,Marriage and Family Therapists,0.014,54090,36960,Marriage and Family Therapists,-0.194120909595,0.143813024,1.0,0.79
60,"Engineers, All Other",0.014,99250,123390,"Engineers, All Other",-0.56080604534,0.268752851,1.0,0.79
61,Training and Development Specialists,0.014,63350,269710,Training and Development Specialists,-0.311917916338,0.183258728,1.0,0.79
62,First-Line Supervisors of Office and Administrative Support Workers,0.014,57890,1443150,First-Line Supervisors of Office and Administrative Support Workers,-0.247020210745,0.241023712,1.0,0.79
63,"Biological Scientists, All Other",0.015,77830,35110,"Biological Scientists, All Other",-0.439933187717,0.199064552,1.0,0.79
64,Public Relations and Fundraising Managers,0.015,123360,63970,Public Relations and Fundraising Managers,-0.646643968872,0.195407673,1.0,0.79
65,Multimedia Artists and Animators,0.015,72200,29810,Multimedia Artists and Animators,-0.396260387812,0.233246253,1.0,0.79
66,Computer and Information Research Scientists,0.015,116320,26580,Computer and Information Research Scientists,-0.625257909216,0.230771596,1.0,0.79
67,Chief Executives,0.015,194350,223260,Chief Executives,-0.775713918189,0.14791438,1.0,0.79
68,"Education Administrators, Preschool and Childcare Center/Program",0.015,52150,48530,"Education Administrators, Preschool and Childcare Center/Program",-0.16414189837,0.205977435,1.0,0.79
69,Music Directors and Composers,0.015,60630,18380,Music Directors and Composers,-0.281048985651,0.220244383,1.0,0.79
70,First-Line Supervisors of Production and Operating Workers,0.016,61450,610480,First-Line Supervisors of Production and Operating Workers,-0.290642799024,0.324192347,1.0,0.79
71,"Securities, Commodities, and Financial Services Sales Agents",0.016,102260,353780,"Securities, Commodities, and Financial Services Sales Agents",-0.573733620184,0.244382962,1.0,0.79
72,Conservation Scientists,0.016,65130,20470,Conservation Scientists,-0.330723169047,0.310260953,1.0,0.79
73,"Special Education Teachers, Middle School",0.016,61910,90250,"Special Education Teachers, Middle School",-0.29591342271,0.212141302,1.0,0.79
74,Chemical Engineers,0.017,105420,31990,Chemical Engineers,-0.586511098463,0.156621621,1.0,0.79
75,Architectural and Engineering Managers,0.017,143870,178390,Architectural and Engineering Managers,-0.697018141378,0.21452707,1.0,0.79
76,Aerospace Engineers,0.017,112010,68510,Aerospace Engineers,-0.610838318007,0.184340895,1.0,0.79
77,Natural Sciences Managers,0.018,136150,54780,Natural Sciences Managers,-0.679838413515,0.248963099,1.0,0.79
78,Environmental Engineers,0.018,88530,52280,Environmental Engineers,-0.507624534056,0.197718367,1.0,0.79
79,"Architects, Except Landscape and Naval",0.018,84470,99860,"Architects, Except Landscape and Naval",-0.483958801942,0.190262058,1.0,0.79
80,Physical Therapist Assistants,0.018,56850,85580,Physical Therapist Assistants,-0.233245382586,0.324433198,1.0,0.79
81,Civil Engineers,0.019,89730,287800,Civil Engineers,-0.51420929455,0.195502622,1.0,0.79
82,"Health Diagnosing and Treating Practitioners, All Other",0.02,84800,36280,"Health Diagnosing and Treating Practitioners, All Other",-0.485966981132,0.211704212,1.0,0.79
83,Soil and Plant Scientists,0.021,69290,14690,Soil and Plant Scientists,-0.370904892481,0.236000018,1.0,0.79
84,Materials Scientists,0.021,101570,7750,Materials Scientists,-0.570837845821,0.217283537,1.0,0.79
85,Materials Engineers,0.021,97050,26800,Materials Engineers,-0.55085007728,0.216054794,1.0,0.79
86,Fashion Designers,0.021,76480,19230,Fashion Designers,-0.43004707113,0.23000078,1.0,0.79
87,Physical Therapists,0.021,87220,216920,Physical Therapists,-0.500229305205,0.208167695,1.0,0.79
88,Photographers,0.021,42640,48660,Photographers,0.0222795497186,0.310061378,1.0,0.79
89,Producers and Directors,0.022,93840,114510,Producers and Directors,-0.535485933504,0.264876548,1.0,0.79
90,Interior Designers,0.022,56220,53160,Interior Designers,-0.224653148346,0.194554922,1.0,0.79
91,Orthodontists,0.023,228780,5200,Orthodontists,-0.809467610805,0.200981667,1.0,0.79
92,Art Directors,0.023,101170,36210,Art Directors,-0.569141049718,0.203915294,1.0,0.79
93,First-Line Supervisors of Correctional Officers,0.025,65100,43230,First-Line Supervisors of Correctional Officers,-0.330414746544,0.272697077,1.0,0.79
94,"Directors, Religious Activities and Education",0.025,44840,20590,"Directors, Religious Activities and Education",-0.0278768956289,0.200335354,1.0,0.79
95,"Electronics Engineers, Except Computer",0.025,103760,132100,"Electronics Engineers, Except Computer",-0.579895913647,0.259130558,1.0,0.79
96,Biochemists and Biophysicists,0.027,94340,29200,Biochemists and Biophysicists,-0.537947848209,0.172034118,1.0,0.79
97,Chiropractors,0.027,81210,32960,Chiropractors,-0.463243442926,0.196209799,1.0,0.79
98,Occupational Therapy Assistants,0.028,59530,38170,Occupational Therapy Assistants,-0.267764152528,0.311105382,1.0,0.79
99,"Child, Family, and School Social Workers",0.028,47510,298840,"Child, Family, and School Social Workers",-0.0825089454852,0.176537841,1.0,0.79
100,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.028,90190,25410,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",-0.516686994124,0.228433549,1.0,0.79
101,Industrial Engineers,0.029,88530,256550,Industrial Engineers,-0.507624534056,0.274434755,1.0,0.79
102,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0.029,59800,202760,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,-0.271070234114,0.354489287,1.0,0.79
103,Veterinary Technologists and Technicians,0.029,33870,99390,Veterinary Technologists and Technicians,0.286979627989,0.349637252,1.0,0.79
104,Industrial Production Managers,0.03,107060,168400,Industrial Production Managers,-0.59284513357,0.273949428,1.0,0.79
105,Industrial Engineering Technicians,0.03,56920,63220,Industrial Engineering Technicians,-0.234188334505,0.289977232,1.0,0.79
106,Network and Computer Systems Administrators,0.03,84500,376820,Network and Computer Systems Administrators,-0.484142011834,0.303470248,1.0,0.79
107,Database Administrators,0.03,87130,113730,Database Administrators,-0.499713072421,0.310472909,1.0,0.79
108,Purchasing Managers,0.03,117720,71750,Purchasing Managers,-0.629714576962,0.257289034,1.0,0.79
109,"Environmental Scientists and Specialists, Including Health",0.033,75360,84250,"Environmental Scientists and Specialists, Including Health",-0.421576433121,0.273750919,1.0,0.79
110,Substance Abuse and Behavioral Disorder Counselors,0.033,44160,91040,Substance Abuse and Behavioral Disorder Counselors,-0.0129076086957,0.169918665,1.0,0.79
111,Lawyers,0.035,139880,619530,Lawyers,-0.688375750643,0.210277968,1.0,0.79
112,Craft Artists,0.035,38900,5070,Craft Artists,0.120565552699,0.328314706,1.0,0.79
113,Operations Research Analysts,0.035,84340,109150,Operations Research Analysts,-0.483163386294,0.195399419,1.0,0.79
114,Computer and Information Systems Managers,0.035,145740,352510,Computer and Information Systems Managers,-0.70090572252,0.249439533,1.0,0.79
115,Commercial and Industrial Designers,0.037,70880,31860,Commercial and Industrial Designers,-0.385016930023,0.226275488,1.0,0.79
116,Biomedical Engineers,0.037,89970,20590,Biomedical Engineers,-0.515505168389,0.143852455,1.0,0.79
117,"Meeting, Convention, and Event Planners",0.037,52020,95850,"Meeting, Convention, and Event Planners",-0.162053056517,0.314392336,1.0,0.79
118,Veterinarians,0.038,100560,67650,Veterinarians,-0.566527446301,0.221662972,1.0,0.79
119,Writers and Authors,0.038,71920,44690,Writers and Authors,-0.393909899889,0.259814039,1.0,0.79
120,Advertising and Promotions Managers,0.039,117810,28860,Advertising and Promotions Managers,-0.629997453527,0.210895902,1.0,0.79
121,Political Scientists,0.039,112250,6350,Political Scientists,-0.611670378619,0.189911327,1.0,0.79
122,Credit Counselors,0.04,49480,34110,Credit Counselors,-0.11903799515,0.225798178,1.0,0.79
123,"Social Scientists and Related Workers, All Other",0.04,80860,36380,"Social Scientists and Related Workers, All Other",-0.46092010883,0.239453697,1.0,0.79
124,Astronomers,0.041,110380,1830,Astronomers,-0.605091502084,0.156969596,1.0,0.79
125,Ship Engineers,0.041,74120,9750,Ship Engineers,-0.411899622234,0.487999683,1.0,0.79
126,"Software Developers, Applications",0.042,104300,794000,"Software Developers, Applications",-0.582070949185,0.218057757,1.0,0.79
127,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.042,57410,11520,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.240724612437,0.324857135,1.0,0.79
128,Psychiatric Technicians,0.043,35870,61720,Psychiatric Technicians,0.215221633677,0.276357029,1.0,0.79
129,Landscape Architects,0.045,68820,19420,Landscape Architects,-0.366608544028,0.196131114,1.0,0.79
130,Health Educators,0.045,57900,57570,Health Educators,-0.247150259067,0.204125383,1.0,0.79
131,Mathematicians,0.047,105600,2730,Mathematicians,-0.587215909091,0.199699294,1.0,0.79
132,Floral Designers,0.047,27610,43990,Floral Designers,0.578775805867,0.306991783,1.0,0.79
133,"Farmers, Ranchers, and Other Agricultural Managers",0.047,75790,4560,"Farmers, Ranchers, and Other Agricultural Managers",-0.424858160707,0.302912596,1.0,0.79
134,Forest Fire Inspectors and Prevention Specialists,0.048,44300,1650,Forest Fire Inspectors and Prevention Specialists,-0.0160270880361,0.366549518,1.0,0.79
135,Emergency Medical Technicians and Paramedics,0.049,36110,244960,Emergency Medical Technicians and Paramedics,0.207144835226,0.311705114,1.0,0.79
136,Editors,0.055,66080,97170,Editors,-0.34034503632,0.260045988,1.0,0.79
137,Prosthodontists,0.055,168140,750,Prosthodontists,-0.74075175449,0.224639818,1.0,0.79
138,Travel Guides,0.057,35930,3030,Travel Guides,0.213192318397,0.28816617,1.0,0.79
139,Licensed Practical and Licensed Vocational Nurses,0.058,44840,702400,Licensed Practical and Licensed Vocational Nurses,-0.0278768956289,0.226929287,1.0,0.79
140,Sociologists,0.059,86840,2870,Sociologists,-0.498042376785,0.168056759,1.0,0.79
141,"Arbitrators, Mediators, and Conciliators",0.06,72730,6300,"Arbitrators, Mediators, and Conciliators",-0.400659975251,0.203474314,1.0,0.79
142,Animal Scientists,0.061,72890,2470,Animal Scientists,-0.401975579641,0.197543306,1.0,0.79
143,Residential Advisors,0.064,27690,110330,Residential Advisors,0.574214517876,0.282096693,1.0,0.79
144,Aircraft Cargo Handling Supervisors,0.066,51900,7460,Aircraft Cargo Handling Supervisors,-0.160115606936,0.418288865,1.0,0.79
145,Respiratory Therapists,0.066,60640,126770,Respiratory Therapists,-0.281167546174,0.301898322,1.0,0.79
146,Broadcast News Analysts,0.067,78200,5070,Broadcast News Analysts,-0.442583120205,0.269015399,1.0,0.79
147,Financial Managers,0.069,139720,543300,Financial Managers,-0.688018894933,0.208737194,1.0,0.79
148,Nuclear Engineers,0.07,105950,17680,Nuclear Engineers,-0.588579518641,0.201786858,1.0,0.79
149,Construction Managers,0.071,99510,249650,Construction Managers,-0.561953572505,0.236583534,1.0,0.79
150,Musicians and Singers,0.074,61862,40110,Musicians and Singers,-0.295367107433,0.296052359,1.0,0.79
151,First-Line Supervisors of Non-Retail Sales Workers,0.075,85830,252670,First-Line Supervisors of Non-Retail Sales Workers,-0.492135616917,0.238512898,1.0,0.79
152,First-Line Supervisors of Personal Service Workers,0.076,39830,190420,First-Line Supervisors of Personal Service Workers,0.0944012051218,0.303117771,1.0,0.79
153,Food Scientists and Technologists,0.077,71270,14200,Food Scientists and Technologists,-0.388382208503,0.22181599,1.0,0.79
154,Compliance Officers,0.08,70250,273910,Compliance Officers,-0.379501779359,0.336740646,1.0,0.79
155,Fish and Game Wardens,0.08,54760,6610,Fish and Game Wardens,-0.203981008035,0.32416317,1.0,0.79
156,Graphic Designers,0.082,52290,210710,Graphic Designers,-0.166379804934,0.222531444,1.0,0.79
157,Food Service Managers,0.083,56010,201470,Food Service Managers,-0.221746116765,0.298363527,1.0,0.79
158,Childcare Workers,0.084,22930,569370,Childcare Workers,0.901003052769,0.332180888,1.0,0.79
159,Fitness Trainers and Aerobics Instructors,0.085,42780,257410,Fitness Trainers and Aerobics Instructors,0.0189340813464,0.331788263,1.0,0.79
160,Gaming Managers,0.091,79690,4280,Gaming Managers,-0.453005395909,0.241691245,1.0,0.79
161,Electrical Power-Line Installers and Repairers,0.097,67160,117670,Electrical Power-Line Installers and Repairers,-0.350952948183,0.542220107,1.0,0.79
162,Police and Sheriff's Patrol Officers,0.098,62760,657690,Police and Sheriff's Patrol Officers,-0.305449330784,0.310548438,1.0,0.79
163,Travel Agents,0.099,39900,68680,Travel Agents,0.0924812030075,0.290127765,1.0,0.79
164,Chefs and Head Cooks,0.1,47390,134190,Chefs and Head Cooks,-0.0801856931842,0.300324121,1.0,0.79
165,Animal Trainers,0.1,34580,13590,Animal Trainers,0.260555234239,0.352968021,1.0,0.79
166,Radio and Television Announcers,0.1,48170,29210,Radio and Television Announcers,-0.0950799252647,0.305832009,1.0,0.79
167,Electrical Engineers,0.1,98620,183770,Electrical Engineers,-0.558000405597,0.252022344,1.0,0.79
168,Chemists,0.1,80820,86660,Chemists,-0.460653303638,0.296103892,1.0,0.79
169,Respiratory Therapy Technicians,0.1,50520,10600,Respiratory Therapy Technicians,-0.137173396675,0.298435116,1.0,0.79
170,Physicists,0.1,121770,16680,Physicists,-0.642030056664,0.164713188,1.0,0.79
171,"Hairdressers, Hairstylists, and Cosmetologists",0.11,29590,352380,"Hairdressers, Hairstylists, and Cosmetologists",0.47313281514,0.336476056,1.0,0.79
172,Reporters and Correspondents,0.11,49770,40090,Reporters and Correspondents,-0.124171187462,0.265555864,1.0,0.79
173,Air Traffic Controllers,0.11,118200,23240,Air Traffic Controllers,-0.631218274112,0.377334232,1.0,0.79
174,Dancers,0.13,32739,10060,Dancers,0.331439567488,0.218176401,1.0,0.79
175,Nuclear Medicine Technologists,0.13,75960,19650,Nuclear Medicine Technologists,-0.426145339652,0.305147035,1.0,0.79
176,"Software Developers, Systems Software",0.13,110590,409820,"Software Developers, Systems Software",-0.605841396148,0.259250941,1.0,0.79
177,Management Analysts,0.13,91910,637690,Management Analysts,-0.525731694049,0.1899637,1.0,0.79
178,Dietetic Technicians,0.13,29360,32240,Dietetic Technicians,0.484673024523,0.379914358,1.0,0.79
179,Urban and Regional Planners,0.13,73060,34810,Urban and Regional Planners,-0.403367095538,0.230506332,1.0,0.79
180,Social and Human Service Assistants,0.13,34120,360650,Social and Human Service Assistants,0.27754982415,0.253858714,1.0,0.79
